Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533103404
Firmware Version,3.0
Calibration Date,03/12/2014
Test Name,MANUAL_001
Test Start Time,15:40:11
Test Start Date,05/04/2018
Test Length [D:H:M],0:1:20
Test Interval [M:S],0:1
PM1 Average [mg/m3],0.015
PM1 Minimum [mg/m3],0.008
PM1 Maximum [mg/m3],0.131
PM1 TWA [mg/m3],0.002
PM2.5 Average [mg/m3],0.015
PM2.5 Minimum [mg/m3],0.008
PM2.5 Maximum [mg/m3],0.131
PM2.5 TWA [mg/m3],0.002
PM4 Average [mg/m3],0.015
PM4 Minimum [mg/m3],0.008
PM4 Maximum [mg/m3],0.131
PM4 TWA [mg/m3],0.002
PM10 Average [mg/m3],0.015
PM10 Minimum [mg/m3],0.008
PM10 Maximum [mg/m3],0.131
PM10 TWA [mg/m3],0.002
TOTAL Average [mg/m3],0.015
TOTAL Minimum [mg/m3],0.008
TOTAL Maximum [mg/m3],0.131
TOTAL TWA [mg/m3],0.002
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,4849

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
344,0.015,0.016,0.016,0.016,0.016,,
345,0.014,0.014,0.014,0.014,0.014,,
346,0.014,0.014,0.014,0.014,0.014,,
347,0.016,0.016,0.016,0.016,0.016,,
348,0.018,0.018,0.018,0.018,0.018,,
349,0.014,0.014,0.014,0.014,0.014,,
350,0.013,0.013,0.013,0.013,0.013,,
351,0.012,0.012,0.012,0.012,0.012,,
352,0.013,0.013,0.013,0.013,0.013,,
353,0.013,0.013,0.013,0.013,0.013,,
354,0.013,0.013,0.013,0.013,0.013,,
355,0.013,0.013,0.013,0.013,0.013,,
356,0.014,0.014,0.014,0.014,0.014,,
357,0.013,0.013,0.013,0.013,0.013,,
358,0.013,0.013,0.013,0.013,0.013,,
359,0.014,0.014,0.014,0.014,0.014,,
360,0.014,0.014,0.014,0.014,0.014,,
361,0.016,0.016,0.016,0.016,0.016,,
362,0.016,0.016,0.016,0.016,0.016,,
363,0.014,0.014,0.014,0.014,0.014,,
364,0.014,0.014,0.014,0.014,0.014,,
365,0.019,0.019,0.019,0.019,0.019,,
366,0.019,0.020,0.020,0.020,0.020,,
367,0.012,0.012,0.012,0.012,0.012,,
368,0.014,0.014,0.014,0.014,0.014,,
369,0.016,0.016,0.016,0.016,0.016,,
370,0.015,0.015,0.015,0.015,0.015,,
371,0.014,0.014,0.014,0.014,0.014,,
372,0.013,0.014,0.014,0.014,0.014,,
373,0.012,0.012,0.012,0.012,0.012,,
374,0.012,0.012,0.012,0.012,0.012,,
375,0.014,0.014,0.014,0.014,0.014,,
376,0.015,0.015,0.015,0.015,0.015,,
377,0.015,0.015,0.015,0.015,0.015,,
378,0.017,0.017,0.017,0.017,0.017,,
379,0.014,0.014,0.014,0.014,0.014,,
380,0.013,0.013,0.013,0.013,0.013,,
381,0.012,0.012,0.012,0.012,0.012,,
382,0.014,0.014,0.014,0.014,0.014,,
383,0.015,0.015,0.015,0.015,0.015,,
384,0.015,0.015,0.015,0.015,0.015,,
385,0.014,0.014,0.014,0.014,0.014,,
386,0.012,0.012,0.012,0.012,0.012,,
387,0.013,0.013,0.013,0.013,0.013,,
388,0.014,0.014,0.014,0.014,0.014,,
389,0.014,0.014,0.014,0.014,0.014,,
390,0.012,0.012,0.012,0.012,0.012,,
391,0.013,0.013,0.013,0.013,0.013,,
392,0.013,0.013,0.013,0.013,0.013,,
393,0.013,0.013,0.013,0.013,0.013,,
394,0.014,0.014,0.014,0.014,0.014,,
395,0.014,0.014,0.014,0.014,0.014,,
396,0.014,0.014,0.014,0.014,0.014,,
